Date,Hanimaadhoo,Hulhule,Kadhdhoo,Kaadedhdhoo,Gan
2020-12-27,34.334778,31.334198,31.895538,34.031433,33.75409
2020-12-28,32.6409,32.277588,34.131714,33.584534,32.03058
2020-12-29,33.236267,34.43106,31.911285,32.080048,31.579437
2020-12-30,32.019012,31.468994,35.390167,34.821594,32.821472
2020-12-31,29.268158,31.58313,31.01529,33.595917,31.794983
2021-01-01,28.981659,31.827026,34.625458,31.084076,29.825165
2021-01-02,30.984314,29.254395,29.990814,31.134827,30.110352
2021-01-03,34.802002,29.99234,31.679474,33.18524,31.00827
2021-01-04,35.217773,31.982422,35.23297,34.499603,33.31259
2021-01-05,28.526733,32.722534,32.50412,32.12143,30.848236
2021-01-06,34.006012,34.072327,31.78421,32.288452,31.582611
2021-01-07,33.273193,35.522614,33.590088,30.532715,30.474579
2021-01-08,35.679688,35.497833,32.24234,31.03534,30.304474
2021-01-09,34.21988,35.377197,34.164734,31.48404,31.27362
2021-01-10,34.78476,35.29062,33.100616,32.36087,31.497894
2021-01-11,35.15439,33.15918,30.95517,30.8638,31.026337
2021-01-12,27.14563,25.734894,30.604675,30.135986,30.01648
2021-01-13,27.11554,29.671326,30.314697,30.253937,30.01706
2021-01-14,32.621002,31.39209,30.046936,30.04303,29.64682
2021-01-15,32.21997,32.61258,30.570862,30.46225,30.549164
2021-01-16,32.25644,33.392975,31.104767,30.985016,31.191711
2021-01-17,31.314636,34.677124,34.673584,33.21701,32.3067
2021-01-18,29.840515,31.753754,35.07965,32.91275,33.044037
2021-01-19,31.019165,30.105865,35.73297,33.77008,31.879242
2021-01-20,34.305542,32.534363,32.937683,32.15146,30.974304
2021-01-21,32.10916,31.340881,32.540985,32.511322,31.311157
2021-01-22,32.85269,31.860046,33.10077,32.817444,32.309692
2021-01-23,35.724243,33.67096,35.52707,34.577606,32.723663
2021-01-24,33.105164,30.969025,34.240112,34.375397,34.317017
2021-01-25,33.235657,30.26529,32.588013,34.15323,32.404083
2021-01-26,31.070923,29.582397,33.132324,33.11264,31.298096
2021-01-27,31.872742,29.104797,30.697601,29.648682,28.278076
2021-01-28,31.804169,29.70102,30.003479,31.198456,32.37491
2021-01-29,33.62979,31.245056,33.62213,33.40518,34.70764
2021-01-30,33.226654,31.016998,32.208893,32.47928,30.777344
2021-01-31,32.74997,29.945984,30.725128,32.473938,31.390472
2021-02-01,31.61325,29.040436,32.78241,33.37613,34.016144
2021-02-02,31.632263,29.441772,32.743683,33.22043,34.60257
